companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
FCB NY,Agency,Contact,Managing Director,https://www.fcb.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
AB InBev,Main,Contact,Media Director,https://www.ab-inbev.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Leuven
Blue Cross Blue Shield,Main,Contact,Media Director,https://www.bcbs.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
FDA,Main,Contact,Media Director,https://www.fda.gov,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Silver Spring MD
FIFA,Main,Contact,Media Director,https://www.fifa.com,SPORTS_FITNESS,LARGE_201_1000,Zurich
Florida Tourism,Main,Contact,Media Director,https://www.visitflorida.com,TRAVEL_HOSPITALITY,MEDIUM_51_200,Tallahassee FL
Haleon,Main,Contact,Media Director,https://www.haleon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
Hyundai,Main,Contact,Media Director,https://www.hyundai.com,AUTOMOTIVE,MEGA_5000_PLUS,Seoul
Intuit,Main,Contact,Media Director,https://www.intuit.com,TECHNOLOGY,MEGA_5000_PLUS,Mountain View CA
Kellanova,Main,Contact,Media Director,https://www.kellanova.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Kenvue,Main,Contact,Media Director,https://www.kenvue.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,Skillman NJ
Morningstar,Main,Contact,Media Director,https://www.morningstar.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Chicago IL
New York Mets,Main,Contact,Media Director,https://www.mlb.com/mets,SPORTS_FITNESS,LARGE_201_1000,New York NY
Spotify,Main,Contact,Media Director,https://www.spotify.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Stockholm
Vanguard,Main,Contact,Media Director,https://www.vanguard.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Malvern PA
