companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Razorfish NY,Agency,Contact,Managing Director,https://www.razorfish.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Blue Cross Blue Shield,Main,Contact,Media Director,https://www.bcbs.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Bread Financial,Main,Contact,Media Director,https://www.breadfinancial.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Columbus OH
Chevron,Main,Contact,Media Director,https://www.chevron.com,AUTOMOTIVE,MEGA_5000_PLUS,San Ramon CA
Conair,Main,Contact,Media Director,https://www.conair.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Stamford CT
Elida Beauty,Main,Contact,Media Director,https://www.elidabeauty.com,FASHION_BEAUTY,MEGA_5000_PLUS,London
Marriott,Main,Contact,Media Director,https://www.marriott.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Bethesda MD
New York Life,Main,Contact,Media Director,https://www.newyorklife.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
Northeastern University,Main,Contact,Media Director,https://www.northeastern.edu,EDUCATION,MEGA_5000_PLUS,Boston MA
Northrop Grumman,Main,Contact,Media Director,https://www.northropgrumman.com,TECHNOLOGY,MEGA_5000_PLUS,Falls Church VA
NRG Energy,Main,Contact,Media Director,https://www.nrg.com,AUTOMOTIVE,ENTERPRISE_1001_5000,Houston TX
Ritz-Carlton Club,Main,Contact,Media Director,https://www.ritzcarlton.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Bethesda MD
Roche,Main,Contact,Media Director,https://www.roche.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Basel
Samsung,Main,Contact,Media Director,https://www.samsung.com,TECHNOLOGY,MEGA_5000_PLUS,Seoul
Sandals Resorts,Main,Contact,Media Director,https://www.sandals.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Montego Bay
Texas Children's Hospital,Main,Contact,Media Director,https://www.texaschildrens.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Houston TX
USAA,Main,Contact,Media Director,https://www.usaa.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Antonio TX
Vanguard,Main,Contact,Media Director,https://www.vanguard.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Malvern PA
Village Medical,Main,Contact,Media Director,https://www.villagemd.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Vivint,Main,Contact,Media Director,https://www.vivint.com,TECHNOLOGY,MEGA_5000_PLUS,Provo UT
