companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Digitas Boston,Agency,Contact,Managing Director,https://www.digitas.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Boston MA
Acushnet Company,Main,Contact,Media Director,https://www.acushnetcompany.com,SPORTS_FITNESS,ENTERPRISE_1001_5000,Fairhaven MA
Align Technology,Main,Contact,Media Director,https://www.aligntech.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,San Jose CA
Arby's,Main,Contact,Media Director,https://www.arbys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Bank of America,Main,Contact,Media Director,https://www.bankofamerica.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Charlotte NC
CarMax,Main,Contact,Media Director,https://www.carmax.com,AUTOMOTIVE,MEGA_5000_PLUS,Richmond VA
Cisco,Main,Contact,Media Director,https://www.cisco.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
Comcast,Main,Contact,Media Director,https://www.comcast.com,TELECOM,MEGA_5000_PLUS,Philadelphia PA
Crocs,Main,Contact,Media Director,https://www.crocs.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Broomfield CO
CVS Health,Main,Contact,Media Director,https://www.cvshealth.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Woonsocket RI
Delta Airlines,Main,Contact,Media Director,https://www.delta.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Atlanta GA
Dow Chemical Company,Main,Contact,Media Director,https://www.dow.com,TECHNOLOGY,MEGA_5000_PLUS,Midland MI
Duluth Trading Company,Main,Contact,Media Director,https://www.duluthtrading.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,Mount Horeb WI
Dunkin' Brands,Main,Contact,Media Director,https://www.dunkinbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Canton MA
Edgewell Personal Care,Main,Contact,Media Director,https://www.edgewell.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,Shelton CT
Haleon,Main,Contact,Media Director,https://www.haleon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
Hershey,Main,Contact,Media Director,https://www.thehersheycompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Hershey PA
HEYDUDE,Main,Contact,Media Director,https://www.heydude.com,FASHION_BEAUTY,MEDIUM_51_200,Boulder CO
Inspire Brands,Main,Contact,Media Director,https://www.inspirebrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
iRobot,Main,Contact,Media Director,https://www.irobot.com,TECHNOLOGY,ENTERPRISE_1001_5000,Bedford MA
Klaviyo,Main,Contact,Media Director,https://www.klaviyo.com,TECHNOLOGY,ENTERPRISE_1001_5000,Boston MA
LVMH,Main,Contact,Media Director,https://www.lvmh.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Merrill Lynch,Main,Contact,Media Director,https://www.ml.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
Nestle,Main,Contact,Media Director,https://www.nestle.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Vevey
Norwegian Cruise Line,Main,Contact,Media Director,https://www.ncl.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Miami FL
Panera Bread,Main,Contact,Media Director,https://www.panerabread.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,St. Louis MO
RaceTrac,Main,Contact,Media Director,https://www.racetrac.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Atlanta GA
Rivian,Main,Contact,Media Director,https://www.rivian.com,AUTOMOTIVE,MEGA_5000_PLUS,Irvine CA
Samsung,Main,Contact,Media Director,https://www.samsung.com,TECHNOLOGY,MEGA_5000_PLUS,Seoul
T. Rowe Price,Main,Contact,Media Director,https://www.troweprice.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Baltimore MD
USAA,Main,Contact,Media Director,https://www.usaa.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Antonio TX
Victoria's Secret & Co,Main,Contact,Media Director,https://www.victoriassecret.com,FASHION_BEAUTY,MEGA_5000_PLUS,Reynoldsburg OH
Vonage,Main,Contact,Media Director,https://www.vonage.com,TELECOM,ENTERPRISE_1001_5000,Holmdel NJ
Walmart,Main,Contact,Media Director,https://www.walmart.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Bentonville AR
Wella Company,Main,Contact,Media Director,https://www.wella.com,FASHION_BEAUTY,MEGA_5000_PLUS,Geneva
