companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Wavemaker NY,Agency,Contact,Managing Director,https://www.wmglobal.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
AARP,Main,Contact,Media Director,https://www.aarp.org,HEALTHCARE_PHARMA,LARGE_201_1000,Washington DC
Adobe Systems Inc.,Main,Contact,Media Director,https://www.adobe.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
American Airlines,Main,Contact,Media Director,https://www.aa.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Fort Worth TX
American Chemistry Council,Main,Contact,Media Director,https://www.americanchemistry.com,TECHNOLOGY,LARGE_201_1000,Washington DC
Amgen,Main,Contact,Media Director,https://www.amgen.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Thousand Oaks CA
Anker Technology,Main,Contact,Media Director,https://www.anker.com,TECHNOLOGY,ENTERPRISE_1001_5000,Shenzhen
Athletic Greens,Main,Contact,Media Director,https://www.athleticgreens.com,HEALTHCARE_PHARMA,MEDIUM_51_200,Reno NV
Audemars Piguet,Main,Contact,Media Director,https://www.audemarspiguet.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Le Brassus
Audible,Main,Contact,Media Director,https://www.audible.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Newark NJ
Bausch Health,Main,Contact,Media Director,https://www.bauschhealth.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Laval
Chevron,Main,Contact,Media Director,https://www.chevron.com,AUTOMOTIVE,MEGA_5000_PLUS,San Ramon CA
Church & Dwight,Main,Contact,Media Director,https://www.churchdwight.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Ewing NJ
Coinbase,Main,Contact,Media Director,https://www.coinbase.com,FINANCIAL_SERVICES,ENTERPRISE_1001_5000,San Francisco CA
Colgate-Palmolive,Main,Contact,Media Director,https://www.colgatepalmolive.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,New York NY
Danone,Main,Contact,Media Director,https://www.danone.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Paris
Deloitte,Main,Contact,Media Director,https://www.deloitte.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,London
Domino's Pizza,Main,Contact,Media Director,https://www.dominos.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Ann Arbor MI
DoorDash,Main,Contact,Media Director,https://www.doordash.com,TECHNOLOGY,MEGA_5000_PLUS,San Francisco CA
Ecolab,Main,Contact,Media Director,https://www.ecolab.com,TECHNOLOGY,MEGA_5000_PLUS,St. Paul MN
Genentech,Main,Contact,Media Director,https://www.gene.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,South San Francisco CA
Huawei,Main,Contact,Media Director,https://www.huawei.com,TECHNOLOGY,MEGA_5000_PLUS,Shenzhen
Ineos Grenadier,Main,Contact,Media Director,https://www.ineosgrenadier.com,AUTOMOTIVE,MEDIUM_51_200,London
Johnson & Johnson,Main,Contact,Media Director,https://www.jnj.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,New Brunswick NJ
Lactalis,Main,Contact,Media Director,https://www.lactalis.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Laval
Merlin Entertainments,Main,Contact,Media Director,https://www.merlinentertainments.biz,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Poole
Novo Nordisk,Main,Contact,Media Director,https://www.novonordisk.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Bagsvaerd
Oniverse,Main,Contact,Media Director,https://www.oniverse.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Paris
Perfetti Van Melle,Main,Contact,Media Director,https://www.perfettivanmelle.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Amsterdam
Riot Games,Main,Contact,Media Director,https://www.riotgames.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Los Angeles CA
Robinhood,Main,Contact,Media Director,https://www.robinhood.com,FINANCIAL_SERVICES,ENTERPRISE_1001_5000,Menlo Park CA
SC Johnson,Main,Contact,Media Director,https://www.scjohnson.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Racine WI
SeatGeek,Main,Contact,Media Director,https://www.seatgeek.com,TECHNOLOGY,LARGE_201_1000,New York NY
Square,Main,Contact,Media Director,https://www.squareup.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Francisco CA
Tiffany & Co.,Main,Contact,Media Director,https://www.tiffany.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Tootsie Roll,Main,Contact,Media Director,https://www.tootsie.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Chicago IL
UPS,Main,Contact,Media Director,https://www.ups.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Atlanta GA
US Navy,Main,Contact,Media Director,https://www.navy.mil,TECHNOLOGY,MEGA_5000_PLUS,Washington DC
YETI Coolers,Main,Contact,Media Director,https://www.yeti.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,Austin TX
