companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Project X Media NY,Agency,Contact,Managing Director,https://www.projectxmedia.com,ENTERTAINMENT_MEDIA,MEDIUM_51_200,New York NY
A-MAX Auto Insurance,Main,Contact,Media Director,https://www.amaxinsurance.com,FINANCIAL_SERVICES,MEDIUM_51_200,Brentwood CA
Anduril,Main,Contact,Media Director,https://www.anduril.com,TECHNOLOGY,ENTERPRISE_1001_5000,Costa Mesa CA
Apple,Main,Contact,Media Director,https://www.apple.com,TECHNOLOGY,MEGA_5000_PLUS,Cupertino CA
BetFred Sportsbook,Main,Contact,Media Director,https://www.betfred.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Warrington
Boyne Resorts,Main,Contact,Media Director,https://www.boyneresorts.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Boyne Falls MI
Checkers and Rally's,Main,Contact,Media Director,https://www.checkers.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Tampa FL
Dame Products,Main,Contact,Media Director,https://www.dameproducts.com,CPG_HOUSEHOLD,SMALL_11_50,New York NY
Dossier Perfumes,Main,Contact,Media Director,https://www.dossierperfumes.com,FASHION_BEAUTY,SMALL_11_50,Miami FL
FIFA,Main,Contact,Media Director,https://www.fifa.com,SPORTS_FITNESS,LARGE_201_1000,Zurich
Figma,Main,Contact,Media Director,https://www.figma.com,TECHNOLOGY,ENTERPRISE_1001_5000,San Francisco CA
FloWater,Main,Contact,Media Director,https://www.flowater.com,CPG_HOUSEHOLD,MEDIUM_51_200,Denver CO
Glossier,Main,Contact,Media Director,https://www.glossier.com,FASHION_BEAUTY,LARGE_201_1000,New York NY
Google,Main,Contact,Media Director,https://www.google.com,TECHNOLOGY,MEGA_5000_PLUS,Mountain View CA
Hasbro,Main,Contact,Media Director,https://www.hasbro.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Pawtucket RI
Henry.ai,Main,Contact,Media Director,https://www.henry.ai,TECHNOLOGY,MEDIUM_51_200,San Francisco CA
Hoffman & Associates,Main,Contact,Media Director,https://www.hoffmanre.com,REAL_ESTATE,LARGE_201_1000,Stamford CT
Intercom,Main,Contact,Media Director,https://www.intercom.com,TECHNOLOGY,ENTERPRISE_1001_5000,San Francisco CA
La-Z-Boy,Main,Contact,Media Director,https://www.la-z-boy.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Monroe MI
Level Shoes,Main,Contact,Media Director,https://www.levelshoes.com,FASHION_BEAUTY,MEDIUM_51_200,Dubai
Lidl,Main,Contact,Media Director,https://www.lidl.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Neckarsulm
M&T Bank,Main,Contact,Media Director,https://www.mtb.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Buffalo NY
Maimonides Medical Center,Main,Contact,Media Director,https://www.maimonides.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Brooklyn NY
Molekule,Main,Contact,Media Director,https://www.molekule.com,CPG_HOUSEHOLD,MEDIUM_51_200,San Francisco CA
Monday Swimwear,Main,Contact,Media Director,https://www.mondayswimwear.com,FASHION_BEAUTY,SMALL_11_50,Los Angeles CA
On the Border Mexican Grill,Main,Contact,Media Director,https://www.ontheborder.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Dallas TX
PMI Worldwide,Main,Contact,Media Director,https://www.pmi.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,New York NY
Polestar,Main,Contact,Media Director,https://www.polestar.com,AUTOMOTIVE,MEGA_5000_PLUS,Gothenburg
Root Insurance Company,Main,Contact,Media Director,https://www.joinroot.com,FINANCIAL_SERVICES,ENTERPRISE_1001_5000,Columbus OH
Ross Stores,Main,Contact,Media Director,https://www.rossstores.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Dublin CA
Shopify,Main,Contact,Media Director,https://www.shopify.com,TECHNOLOGY,MEGA_5000_PLUS,Ottawa
Sleeper,Main,Contact,Media Director,https://www.the-sleeper.com,FASHION_BEAUTY,SMALL_11_50,Kiev
SpaceX,Main,Contact,Media Director,https://www.spacex.com,TECHNOLOGY,MEGA_5000_PLUS,Hawthorne CA
Square,Main,Contact,Media Director,https://www.squareup.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Francisco CA
Studs,Main,Contact,Media Director,https://www.studs.com,FASHION_BEAUTY,SMALL_11_50,New York NY
Total Wine,Main,Contact,Media Director,https://www.totalwine.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Bethesda MD
United Football League,Main,Contact,Media Director,https://www.theufl.com,SPORTS_FITNESS,LARGE_201_1000,Arlington TX
Urban Outfitters, Inc.,Main,Contact,Media Director,https://www.urbn.com,FASHION_BEAUTY,MEGA_5000_PLUS,Philadelphia PA
VF Corporation,Main,Contact,Media Director,https://www.vfc.com,FASHION_BEAUTY,MEGA_5000_PLUS,Denver CO
Vuori Clothing,Main,Contact,Media Director,https://www.vuoriclothing.com,FASHION_BEAUTY,LARGE_201_1000,Carlsbad CA
Who Gives A Crap,Main,Contact,Media Director,https://www.whogivesacrap.org,CPG_HOUSEHOLD,MEDIUM_51_200,Melbourne
Zipcar,Main,Contact,Media Director,https://www.zipcar.com,AUTOMOTIVE,ENTERPRISE_1001_5000,Boston MA
