companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
PMG Dallas,Agency,Contact,Managing Director,https://www.pmg.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Dallas TX
Ace Hardware,Main,Contact,Media Director,https://www.acehardware.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Oak Brook IL
Alo Yoga,Main,Contact,Media Director,https://www.aloyoga.com,FASHION_BEAUTY,LARGE_201_1000,Los Angeles CA
Apple,Main,Contact,Media Director,https://www.apple.com,TECHNOLOGY,MEGA_5000_PLUS,Cupertino CA
Baylor Scott & White Health,Main,Contact,Media Director,https://www.bswhealth.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Dallas TX
Best Western,Main,Contact,Media Director,https://www.bestwestern.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Phoenix AZ
Carl's Jr,Main,Contact,Media Director,https://www.carlsjr.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Franklin TN
CKE Restaurants,Main,Contact,Media Director,https://www.ckr.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Franklin TN
Conn's,Main,Contact,Media Director,https://www.conns.com,RETAIL_ECOMMERCE,LARGE_201_1000,The Woodlands TX
Crate & Barrel,Main,Contact,Media Director,https://www.crateandbarrel.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Northbrook IL
Dutch Bros Coffee,Main,Contact,Media Director,https://www.dutchbros.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Grants Pass OR
Experian,Main,Contact,Media Director,https://www.experian.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Dublin
Frost Bank,Main,Contact,Media Director,https://www.frostbank.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Antonio TX
Hardee's,Main,Contact,Media Director,https://www.hardees.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Franklin TN
Intuit,Main,Contact,Media Director,https://www.intuit.com,TECHNOLOGY,MEGA_5000_PLUS,Mountain View CA
J. Crew,Main,Contact,Media Director,https://www.jcrew.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
JSX,Main,Contact,Media Director,https://www.jsx.com,TRAVEL_HOSPITALITY,MEDIUM_51_200,Dallas TX
Kohler,Main,Contact,Media Director,https://www.kohler.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Kohler WI
McAfee,Main,Contact,Media Director,https://www.mcafee.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
Michael Kors,Main,Contact,Media Director,https://www.michaelkors.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Michaels Stores,Main,Contact,Media Director,https://www.michaels.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Irving TX
Nike,Main,Contact,Media Director,https://www.nike.com,FASHION_BEAUTY,MEGA_5000_PLUS,Beaverton OR
NinjaTrader Group,Main,Contact,Media Director,https://www.ninjatrader.com,FINANCIAL_SERVICES,MEDIUM_51_200,Chicago IL
Nordstrom,Main,Contact,Media Director,https://www.nordstrom.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Seattle WA
Northwestern Mutual,Main,Contact,Media Director,https://www.northwesternmutual.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Milwaukee WI
NRG Energy,Main,Contact,Media Director,https://www.nrg.com,AUTOMOTIVE,ENTERPRISE_1001_5000,Houston TX
Peloton Interactive,Main,Contact,Media Director,https://www.onepeloton.com,SPORTS_FITNESS,ENTERPRISE_1001_5000,New York NY
Peter Millar,Main,Contact,Media Director,https://www.petermillar.com,FASHION_BEAUTY,LARGE_201_1000,Raleigh NC
Ralph Lauren,Main,Contact,Media Director,https://www.ralphlauren.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Rosewood Hotels,Main,Contact,Media Director,https://www.rosewoodhotels.com,TRAVEL_HOSPITALITY,LARGE_201_1000,Hong Kong
Rothy's,Main,Contact,Media Director,https://www.rothys.com,FASHION_BEAUTY,MEDIUM_51_200,San Francisco CA
Shake Shack,Main,Contact,Media Director,https://www.shakeshack.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,New York NY
SharkNinja,Main,Contact,Media Director,https://www.sharkninja.com,CPG_HOUSEHOLD,ENTERPRISE_1001_5000,Needham MA
The Container Store,Main,Contact,Media Director,https://www.containerstore.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Coppell TX
Therabody,Main,Contact,Media Director,https://www.therabody.com,SPORTS_FITNESS,LARGE_201_1000,Los Angeles CA
Virgin Atlantic,Main,Contact,Media Director,https://www.virginatlantic.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Crawley
Whole Foods Market,Main,Contact,Media Director,https://www.wholefoodsmarket.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Austin TX
