companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Spark Foundry NY,Agency,Contact,Managing Director,https://www.sparkfoundryny.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,New York NY
Abbott Labs,Main,Contact,Media Director,https://www.abbott.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
AbbVie,Main,Contact,Media Director,https://www.abbvie.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,North Chicago IL
ACH Food Company,Main,Contact,Media Director,https://www.achfood.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Memphis TN
Aflac,Main,Contact,Media Director,https://www.aflac.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Columbus GA
Altice,Main,Contact,Media Director,https://www.alticeusa.com,TELECOM,MEGA_5000_PLUS,New York NY
America's Best Contacts & Eyeglasses,Main,Contact,Media Director,https://www.americasbest.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,New York NY
Art Institute of Chicago,Main,Contact,Media Director,https://www.artic.edu,EDUCATION,LARGE_201_1000,Chicago IL
Blue Diamond Growers,Main,Contact,Media Director,https://www.bluediamond.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Sacramento CA
Brown-Forman,Main,Contact,Media Director,https://www.brown-forman.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Louisville KY
Campbell Soup,Main,Contact,Media Director,https://www.campbellsoupcompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Camden NJ
Citigroup,Main,Contact,Media Director,https://www.citigroup.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
Comcast,Main,Contact,Media Director,https://www.comcast.com,TELECOM,MEGA_5000_PLUS,Philadelphia PA
Dairy Queen,Main,Contact,Media Director,https://www.dairyqueen.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Minneapolis MN
Dunkin' Brands,Main,Contact,Media Director,https://www.dunkinbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Canton MA
Ebro Foods,Main,Contact,Media Director,https://www.ebrofoods.es,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Madrid
Facebook,Main,Contact,Media Director,https://www.facebook.com,TECHNOLOGY,MEGA_5000_PLUS,Menlo Park CA
Froneri,Main,Contact,Media Director,https://www.froneri.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Richmond VA
Genuine Parts Company,Main,Contact,Media Director,https://www.genpt.com,AUTOMOTIVE,MEGA_5000_PLUS,Atlanta GA
HEB Grocery,Main,Contact,Media Director,https://www.heb.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,San Antonio TX
